timestamp,function,total_microseconds,call_count,average_microseconds,data_size,,,
09/01/2026 12:52,DominoLineBuilder::DominoLineBuilder,205,1,205,10,,,
09/01/2026 12:54,DominoLineBuilder::DominoLineBuilder,893,1,893,20,,,
09/01/2026 13:04,DominoLineBuilder::DominoLineBuilder,151,1,151,30,,,
09/01/2026 13:05,DominoLineBuilder::DominoLineBuilder,174,1,174,40,,,
09/01/2026 13:10,DominoLineBuilder::DominoLineBuilder,192,1,192,50,,,
,,,,,,,,
,,,,,,,,
,,,,average_microseconds,data_size,,,
09/01/2026 13:11,DominoLineBuilder::DominoLineBuilder,255,1,255,100,,,
09/01/2026 13:11,DominoLineBuilder::DominoLineBuilder,300,1,300,200,,,
09/01/2026 13:16,DominoLineBuilder::DominoLineBuilder,287,1,287,300,,,
09/01/2026 13:17,DominoLineBuilder::DominoLineBuilder,340,1,340,400,,,
09/01/2026 13:19,DominoLineBuilder::DominoLineBuilder,377,1,377,500,,, 
,,,,,,,,
,,,,,,,,
,,,,average_microseconds,data_size,,,
09/01/2026 13:21,DominoLineBuilder::DominoLineBuilder,628,1,628,1000,,,
09/01/2026 13:21,DominoLineBuilder::DominoLineBuilder,1023,1,1023,2000,,,
09/01/2026 13:22,DominoLineBuilder::DominoLineBuilder,1632,1,1632,3000,,,
09/01/2026 13:22,DominoLineBuilder::DominoLineBuilder,2047,1,2047,4000,,,
09/01/2026 13:24,DominoLineBuilder::DominoLineBuilder,2469,1,2469,5000,,,

2026-01-09 14:38:13,DominoLineBuilder::DominoLineBuilder,2256,1,2256
2026-01-09 14:38:36,DominoLineBuilder::DominoLineBuilder,2405,1,2405
